@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureOutOfBagError numeric

@data

data_eda,1,10,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,17,24,0,41.463415,58.536585,0,0.11828,0.31002,0.406905,90.310025,98.086251,72.625175,67.710807,4.914368,1.771346,1.651483,0.119863,13.550057,0.330489,18.657521,0.571429,8,0.259259,7,0.740741,20,0.428571,6,0.533333,0.571429,0.551724,0.307329,0.730159,0.594627,0.414634,0.296722,0.703278,0.585366,?,0.414634,?,?,0.633121,0.528514,?,0.414634,0.029,0,0.03125,0,31.25,0,11300,69797,10067,100,77.439024,?,95.454545,15,?
data_eda,2,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,370,42,22,20,0,52.380952,47.619048,0,0.259259,0.292897,0.39195,85.820362,95.102804,73.390809,66.321574,7.069235,1.7474,1.579085,0.168315,14.739336,0.350937,20.083355,0.866667,13,0.296296,8,0.703704,19,0.133333,2,0.619048,0.866667,0.722222,0.546594,0.804938,0.712598,0.52381,0.257169,0.742831,0.47619,?,0.52381,?,?,0.680062,0.498995,?,0.52381,0.039,0,0.03125,0,31.25,0,11300,69616,10248,97.619048,79.761905,?,68.181818,6,?
data_eda,2,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,370,42,27,15,0,64.285714,35.714286,0,0.467005,0.280612,0.367871,81.400724,88.260364,76.26614,60.985167,15.280973,1.81586,1.452028,0.363833,20.822859,0.495782,27.302888,0.733333,11,0.111111,3,0.888889,24,0.266667,4,0.785714,0.733333,0.758621,0.632456,0.866667,0.788325,0.642857,0.178211,0.821789,0.357143,?,0.642857,?,?,0.798714,0.684018,?,0.642857,0.033,0,0.03125,0,31.25,0,11300,69616,10248,95.238095,81.547619,?,86.363636,9,?
data_eda,2,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,18,23,0,43.902439,56.097561,0,0.134862,0.318448,0.411133,93.135668,99.549836,71.977118,70.489486,1.487631,1.755539,1.719256,0.036284,10.37761,0.253112,14.417929,0.533333,8,0.269231,7,0.730769,19,0.466667,7,0.533333,0.533333,0.533333,0.264103,0.697436,0.594182,0.439024,0.302005,0.697995,0.560976,?,0.439024,?,?,0.631625,0.447734,?,0.439024,0.032,0,0.03125,0,31.25,0,11300,69797,10067,100,89.02439,?,59.090909,4,?
data_eda,2,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,21,20,0,51.219512,48.780488,0,0.239332,0.294073,0.385574,86.006813,93.361123,71.977118,69.11338,2.863738,1.755539,1.685692,0.069847,14.011332,0.34174,19.466371,0.733333,11,0.307692,8,0.692308,18,0.266667,4,0.578947,0.733333,0.647059,0.411138,0.833333,0.774698,0.512195,0.274214,0.725786,0.487805,?,0.512195,?,?,0.700106,0.579678,?,0.512195,0.034,0,0.03125,0,31.25,0,11300,69797,10067,95.121951,76.829268,?,90.909091,17,?
data_eda,2,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,21,20,0,51.219512,48.780488,0,0.255898,0.301559,0.388876,87.845075,93.740417,72.625175,62.876926,9.748249,1.771346,1.533584,0.237762,14.037294,0.342373,19.328413,0.642857,9,0.259259,7,0.740741,20,0.357143,5,0.5625,0.642857,0.6,0.3729,0.76455,0.726357,0.512195,0.259047,0.740953,0.487805,?,0.512195,?,?,0.713819,0.544398,?,0.512195,0.031,0,0.03125,0,31.25,0,11300,69797,10067,100,85.97561,?,45.454545,3,?
data_eda,2,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,17,24,0,41.463415,58.536585,0,0.128432,0.295446,0.407359,86.064538,98.195791,72.625175,72.891817,-0.266641,1.771346,1.777849,-0.006503,13.307069,0.324563,18.322943,0.642857,9,0.222222,6,0.777778,21,0.357143,5,0.6,0.642857,0.62069,0.414113,0.843915,0.784765,0.414634,0.279123,0.720877,0.585366,0.381998,0.414634,0.395848,0.129096,0.682949,0.540959,0.290645,0.414634,0.031,0,0.03125,0,31.25,0,11300,69797,10067,95.121951,76.219512,?,100,17,?
data_eda,2,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,20,21,0,48.780488,51.219512,0,0.196078,0.303013,0.392918,88.697429,95.231125,71.869455,64.157645,7.71181,1.752914,1.564821,0.188093,14.099969,0.343902,19.618861,0.714286,10,0.222222,6,0.777778,21,0.285714,4,0.625,0.714286,0.666667,0.47834,0.791005,0.726368,0.487805,0.292527,0.707473,0.512195,?,0.487805,?,?,0.6631,0.50986,?,0.487805,0.03,0,0.03125,0,31.25,0,11300,69797,10067,100,84.756098,?,63.636364,5,?
data_eda,2,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,24,17,0,58.536585,41.463415,0,0.370939,0.288371,0.38624,84.411173,93.612656,71.869455,64.697408,7.172046,1.752914,1.577986,0.174928,17.807333,0.434325,24.777332,0.857143,12,0.185185,5,0.814815,22,0.142857,2,0.705882,0.857143,0.774194,0.646782,0.835979,0.687449,0.585366,0.209942,0.790058,0.414634,0.54564,0.585366,0.556632,0.371772,0.739796,0.562481,0.412036,0.585366,0.047,0,0.03125,0,31.25,0,11300,69797,10067,95.121951,77.439024,?,100,17,?
data_eda,2,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,24,17,0,58.536585,41.463415,0,0.358786,0.276073,0.372172,80.811461,90.202785,71.869455,59.440872,12.428582,1.752914,1.449777,0.303136,19.388236,0.472884,26.977019,0.785714,11,0.222222,6,0.777778,21,0.214286,3,0.647059,0.785714,0.709677,0.54238,0.865079,0.774443,0.585366,0.230088,0.769912,0.414634,?,0.585366,?,?,0.753038,0.645518,?,0.585366,0.034,0,0.03125,0,31.25,0,11300,69797,10067,97.560976,76.219512,?,90.909091,12,?
